archivo,año,categoria,num_columnas,columnas
articles-391573_recurso.xlsx,2014,primer_curso,33,Código de  la Institución | IES PADRE | Institución de Educación Superior (IES) | Principal  o Seccional | Id_Sector | Sector IES | Id_Caracter | Caracter IES | Código del  departamento (IES) | Departamento de  domicilio de la IES | Código del  Municipio (IES) | Municipio de domicilio de la IES | Código  SNIES del programa | Programa Académico | Id_Nivel | Nivel Académico | Id_Nivel_Formacion | Nivel de Formación | Id_Metodologia | Metodología
articles-391575_recurso.xlsx,2018,matriculados,33,Código de  la Institución | IES PADRE | Institución de Educación Superior (IES) | Principal  o Seccional | ID Sector IES | Sector IES | ID Caracter | Caracter IES | Código del  departamento (IES) | Departamento de  domicilio de la IES | Código del  Municipio (IES) | Municipio de domicilio de la IES | Código  SNIES del programa | Programa Académico | ID Nivel Académico | Nivel Académico | ID Nivel de Formación | Nivel de Formación | ID Metodología | Metodología
articles-391576_recurso.xlsx,2017,matriculados,33,Código de  la Institución | IES PADRE | Institución de Educación Superior (IES) | Principal  o Seccional | ID Sector IES | Sector IES | ID Caracter | Caracter IES | Código del  departamento (IES) | Departamento de  domicilio de la IES | Código del  Municipio (IES) | Municipio de domicilio de la IES | Código  SNIES del programa | Programa Académico | ID Nivel Académico | Nivel Académico | ID Nivel de Formación | Nivel de Formación | ID Metodología | Metodología
articles-391577_recurso.xlsx,2016,matriculados,33,Código de  la Institución | IES PADRE | Institución de Educación Superior (IES) | Principal  o Seccional | ID Sector IES | Sector IES | ID Caracter | Caracter IES | Código del  departamento (IES) | Departamento de  domicilio de la IES | Código del  Municipio (IES) | Municipio de domicilio de la IES | Código  SNIES del programa | Programa Académico | ID Nivel Académico | Nivel Académico | ID Nivel de Formación | Nivel de Formación | ID Metodología | Metodología
articles-391578_recurso.xlsx,2015,matriculados,33,Código de  la Institución | IES PADRE | Institución de Educación Superior (IES) | Principal  o Seccional | Id_Sector | Sector IES | Id_Caracter | Caracter IES | Código del  departamento (IES) | Departamento de  domicilio de la IES | Código del  Municipio (IES) | Municipio de domicilio de la IES | Código  SNIES del programa | Programa Académico | Id_Nivel | Nivel Académico | Id_Nivel_Formacion | Nivel de Formación | Id_Metodologia | Metodología
articles-391579_recurso.xlsx,2014,matriculados,33,Código de  la Institución | IES PADRE | Institución de Educación Superior (IES) | Principal  o Seccional | Id_Sector | Sector IES | Id_Caracter | Caracter IES | Código del  departamento (IES) | Departamento de  domicilio de la IES | Código del  Municipio (IES) | Municipio de domicilio de la IES | Código  SNIES del programa | Programa Académico | Id_Nivel | Nivel Académico | Id_Nivel_Formacion | Nivel de Formación | Id_Metodologia | Metodología
articles-391581_recurso.xlsx,2018,graduados,33,Código de la Institución | IES_PADRE | Institución de Educación Superior (IES) | Principal o Seccional | ID Sector IES | Sector IES | ID Caracter | Caracter IES | Código del departamento (IES) | Departamento de domicilio de la IES | Código del municipio | Municipio de domicilio de la IES | Código SNIES del programa | Programa Académico | ID Nivel Académico | Nivel Académico | ID Nivel de Formación | Nivel de Formación | ID Metodología | Metodología
articles-391582_recurso.xlsx,2018,docentes,23,Código de  la Institución | IES PADRE | Institución de Educación Superior (IES) | Principal  o Seccional | ID Sector IES | Sector IES | ID Caracter | Caracter IES | Código del  departamento (IES) | Departamento de  domicilio de la IES | Código del  Municipio (IES) | Municipio de domicilio de la IES | ID Sexo | Sexo del Docente | ID Máximo nivel de formación del docente | Máximo nivel  de formación del docente | ID Tiempo de dedicación | Tiempo de dedicación del Docente | ID Tipo de contrato | Tipo de contrato del Docente
articles-391583_recurso.xlsx,2017,docentes,23,Código de  la Institución | IES PADRE | Institución de Educación Superior (IES) | Principal  o Seccional | ID Sector IES | Sector IES | ID Caracter | Caracter IES | Código del  departamento (IES) | Departamento de  domicilio de la IES | Código del  Municipio (IES) | Municipio de domicilio de la IES | ID Sexo | Sexo del Docente | ID Máximo nivel de formación del docente | Máximo nivel  de formación del docente | ID Tiempo de dedicación | Tiempo de dedicación del Docente | ID Tipo de contrato | Tipo de contrato del Docente
articles-391584_recurso.xlsx,2016,docentes,23,Código de  la Institución | IES PADRE | Institución de Educación Superior (IES) | Principal  o Seccional | ID Sector IES | Sector IES | ID Caracter | Caracter IES | Código del  departamento (IES) | Departamento de  domicilio de la IES | Código del  Municipio (IES) | Municipio de domicilio de la IES | ID Sexo | Sexo del Docente | ID Máximo nivel de formación del docente | Máximo nivel  de formación del docente | ID Tiempo de dedicación | Tiempo de dedicación del Docente | ID Tipo de contrato | Tipo de contrato del Docente
articles-391585_recurso.xlsx,2015,docentes,24,Código de  la Institución | IES PADRE | Institución de Educación Superior (IES) | Principal  o Seccional | Id Sector IES | Sector IES | Id Caracter IES | Caracter IES | Código del  departamento (IES) | Departamento de  domicilio de la IES | Código del  Municipio (IES) | Municipio de domicilio de la IES | Id Género | Género del Docente | Tipo de documento | Id Maximo_Nivel | Máximo nivel  de formación del docente | Id Dedicación | Tiempo de dedicación del Docente | Id Tipo_Contrato
articles-391586_recurso.xlsx,2014,docentes,24,Código de  la Institución | IES PADRE | Institución de Educación Superior (IES) | Principal  o Seccional | Id Sector IES | Sector IES | Id Caracter IES | Caracter IES | Código del  departamento (IES) | Departamento de  domicilio de la IES | Código del  Municipio (IES) | Municipio de domicilio de la IES | Id Género | Género del Docente | Tipo de documento | Id Maximo_Nivel | Máximo nivel  de formación del docente | Id Dedicación | Tiempo de dedicación del Docente | Id Tipo_Contrato
articles-391588_recurso.xlsx,2018,administrativos,19,Código de  la Institución | IES PADRE | Institución de Educación Superior (IES) | Principal  o  Seccional | ID Sector IES | Sector IES | ID Caracter IES | Caracter IES | Código del  departamento (IES) | Departamento de  domicilio de la IES | Código del  Municipio (IES) | Municipio de domicilio de la IES | Año | Semestre | Auxiliar | Tecnico | Profesional | Directivo | Total
articles-391589_recurso.xlsx,2017,administrativos,19,Código de  la Institución | IES PADRE | Institución de Educación Superior (IES) | Principal  o Seccional | ID Sector IES | Sector IES | ID Caracter IES | Caracter IES | Código del  departamento (IES) | Departamento de  domicilio de la IES | Código del  Municipio (IES) | Municipio de domicilio de la IES | Año | Semestre | Auxiliar | Técnico | Profesional | Directivo | Total
